=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.19 13:28:36 =~=~=~=~=~=~=~=~=~=~=~=
Tiempo,Estado,Potencia,Termocupla
11350,1,80,1006
11360,1,80,1006
11370,1,80,1005
11380,1,80,1005
11390,1,80,1005
11400,1,80,1005
11410,1,80,1005
11420,1,80,1005
11430,1,80,1005
11440,1,80,1005
11450,1,80,1005
11460,1,80,1005
11470,1,80,1004
11480,1,80,1004
11490,1,80,1004
11500,1,80,1004
11510,1,80,1004
11520,1,80,1004
11530,1,80,1004
11540,1,80,1004
11550,1,80,1004
11560,1,80,1004
11570,1,80,1004
11580,1,80,1004
11590,1,80,1004
11600,1,80,1004
11610,1,80,1004
11620,1,80,1004
11630,1,80,1004
11640,1,80,1004
11650,1,80,1004
11660,1,80,1004
11670,1,80,1004
11680,1,80,1004
11690,1,80,1004
11700,1,80,1003
11710,1,80,1004
11720,1,80,1004
11730,1,80,1004
11740,1,80,1003
11750,1,80,1004
11760,1,80,1003
11770,1,80,1003
11780,1,80,1003
11790,1,80,1003
11800,1,80,1003
11810,1,80,1003
11820,1,80,1003
11830,1,80,1003
11840,1,80,1003
11850,1,80,1003
11860,1,80,1003
11870,1,80,1003
11880,1,80,1002
11890,1,80,1003
11900,1,80,1003
11910,1,80,1003
11920,1,80,1003
11930,1,75,1003
11940,1,75,1002
11950,1,75,1002
11960,1,75,1001
11970,1,75,1001
11980,1,75,1000
11990,1,75,1000
12000,1,75,1000
12010,1,75,1000
12020,1,75,1000
12030,1,75,999
12040,1,75,999
12050,1,75,999
12060,1,75,999
12070,1,75,999
12080,1,75,998
12090,1,75,998
12100,1,75,998
12110,1,75,998
12120,1,75,998
12130,1,75,998
12140,1,75,998
12150,1,75,998
12160,1,75,998
12170,1,75,998
12180,1,75,998
12190,1,75,998
12200,1,75,998
12210,1,75,998
12220,1,75,997
12230,1,75,997
12240,1,75,997
12250,1,75,997
12260,1,75,997
12270,1,75,997
12280,1,75,997
12290,1,75,997
12300,1,75,997
12310,1,75,997
12320,1,75,997
12330,1,75,997
12340,1,75,997
12350,1,75,997
12360,1,75,997
12370,1,75,997
12380,1,75,997
12390,1,75,997
12400,1,75,997
12410,1,75,997
12420,1,75,997
12430,1,75,997
12440,1,75,997
12450,1,75,997
12460,1,75,997
12470,1,75,997
12480,1,75,997
12490,1,75,997
12500,1,75,997
12510,1,75,996
12520,1,75,997
12530,1,70,996
12540,1,70,996
12550,1,70,995
12560,1,70,994
12570,1,70,994
12580,1,70,994
12590,1,70,993
12600,1,70,993
12610,1,70,993
12620,1,70,993
12630,1,70,992
12640,1,70,992
12650,1,70,992
12660,1,70,992
12670,1,70,991
12680,1,70,991
12690,1,70,991
12700,1,70,991
12710,1,70,991
12720,1,70,991
12730,1,70,990
12740,1,70,990
12750,1,70,990
12760,1,70,990
12770,1,70,990
12780,1,70,989
12790,1,70,989
12800,1,70,989
12810,1,70,989
12820,1,70,989
12830,1,70,988
12840,1,70,989
12850,1,70,989
12860,1,70,989
12870,1,70,989
12880,1,70,988
12890,1,70,988
12900,1,70,988
12910,1,70,988
12920,1,70,988
12930,1,70,988
12940,1,70,988
12950,1,70,988
12960,1,70,988
12970,1,70,988
12980,1,70,987
12990,1,70,988
13000,1,70,987
13010,1,70,987
13020,1,70,987
13030,1,70,987
13040,1,70,987
13050,1,70,987
13060,1,70,987
13070,1,70,987
13080,1,70,987
13090,1,70,987
13100,1,70,987
13110,1,70,986
13120,1,70,986
13130,1,65,986
13140,1,65,986
13150,1,65,985
13160,1,65,984
13170,1,65,983
13180,1,65,983
13190,1,65,983
13200,1,65,982
13210,1,65,982
13220,1,65,982
13230,1,65,981
13240,1,65,981
13250,1,65,981
13260,1,65,980
13270,1,65,980
13280,1,65,980
13290,1,65,980
13300,1,65,980
13310,1,65,979
13320,1,65,979
13330,1,65,979
13340,1,65,978
13350,1,65,978
13360,1,65,978
13370,1,65,978
13380,1,65,978
13390,1,65,978
13400,1,65,978
13410,1,65,977
13420,1,65,977
13430,1,65,977
13440,1,65,977
13450,1,65,977
13460,1,65,977
13470,1,65,977
13480,1,65,976
13490,1,65,976
13500,1,65,976
13510,1,65,976
13520,1,65,976
13530,1,65,976
13540,1,65,975
13550,1,65,975
13560,1,65,975
13570,1,65,975
13580,1,65,975
13590,1,65,975
13600,1,65,975
13610,1,65,975
13620,1,65,975
13630,1,65,974
13640,1,65,974
13650,1,65,974
13660,1,65,974
13670,1,65,974
13680,1,65,974
13690,1,65,974
13700,1,65,974
13710,1,65,974
13720,1,65,974
13730,1,60,974
13740,1,60,973
13750,1,60,972
13760,1,60,972
13770,1,60,971
13780,1,60,971
13790,1,60,970
13800,1,60,969
13810,1,60,969
13820,1,60,969
13830,1,60,969
13840,1,60,968
13850,1,60,968
13860,1,60,968
13870,1,60,967
13880,1,60,967
13890,1,60,967
13900,1,60,967
13910,1,60,966
13920,1,60,966
13930,1,60,965
13940,1,60,965
13950,1,60,965
13960,1,60,965
13970,1,60,964
13980,1,60,964
13990,1,60,964
14000,1,60,964
14010,1,60,964
14020,1,60,963
14030,1,60,963
14040,1,60,963
14050,1,60,963
14060,1,60,962
14070,1,60,962
14080,1,60,962
14090,1,60,961
14100,1,60,961
14110,1,60,961
14120,1,60,961
14130,1,60,961
14140,1,60,961
14150,1,60,960
14160,1,60,960
14170,1,60,960
14180,1,60,960
14190,1,60,959
14200,1,60,959
14210,1,60,959
14220,1,60,959
14230,1,60,959
14240,1,60,959
14250,1,60,959
14260,1,60,959
14270,1,60,959
14280,1,60,958
14290,1,60,958
14300,1,60,958
14310,1,60,958
14320,1,60,958
14330,1,55,958
14340,1,55,957
14350,1,55,956
14360,1,55,956
14370,1,55,955
14380,1,55,954
14390,1,55,954
14400,1,55,953
14410,1,55,953
14420,1,55,953
14430,1,55,952
14440,1,55,952
14450,1,55,952
14460,1,55,952
14470,1,55,951
14480,1,55,951
14490,1,55,951
14500,1,55,951
14510,1,55,951
14520,1,55,950
14530,1,55,950
14540,1,55,950
14550,1,55,950
14560,1,55,949
14570,1,55,949
14580,1,55,949
14590,1,55,949
14600,1,55,948
